Comment,Designator,Footprint,LCSC,Qty
0.1uF,"C11,C20,C21,C22,C23",,,5
100nF,"C34,C60,C61,C62,C63,C101,C102",,,7
100pF,"C70,C71,C72,C73,C74",,,5
100uF_16V_Tant,C8,,C7183,1
100uF_25V_Elec,C6,,C45783,1
100uF_35V_Elec,C110,,,1
10nF,"C80,C81,C82,C83,C84,C85,C86,C87,C90,C92,C111",,,11
10uF,"C1,C2,C7,C9,C10,C24,C25,C61,C62,C63,C64,C103",,,12
1nF,"C91,C93",,,2
22pF,"C30,C31",,,2
22uF,"C4,C5",,,2
4.7nF,"C50,C51,C52,C53",,,4
470uF_35V_Elec,C100,,C77664,1
47uF_50V_Elec,C3,,C49998,1
TJA1043TK/1Y,"U20,U21,U22,U23",,C284682,4
+3V3,TP1,,,1
+5V,TP2,,,1
+5VREF,TP3,,,1
105450-0101,J2,,C165948,1
AMPSEAL16_35POS,J1,,C288732,1
CAN0_H,TP7,,,1
CAN0_L,TP8,,,1
DTM06-4S_CAN0,J3,,,1
DTM06-4S_CAN1,J4,,,1
DTM06-4S_DIAG,J5,,,1
DTM06-4S_WBO2_1,J6,,,1
DTM06-4S_WBO2_2,J7,,,1
GND,TP5,,,1
TC2050-IDC,J10,,C72630,1
TC2050_SWD,J10,,,1
VBAT,TP4,,,1
~RESET,TP6,,,1
BAV99,"D20A,D20B,D21A,D21B,D22A,D22B,D23A,D23B,D24A,D24B,D25A,D25B,D26A,D26B,D27A,D27B",,C1527,16
BZX84C15,"D2,D40,D41,D42,D43,D44,D45",,C109011,7
PESD5V0,"D60,D61,D62,D63,D64,D65,D66,D67",,C165936,8
SS34,"D30,D31,D32,D33,D34,D35,D36,D37,D50,D51,D52,D53,D54",,C86926,13
600R@100MHz,FB1,,C94453,1
30A_ATO,F1,,C448218,1
TPS25200_2.5A,F2,,,1
ISL9V3040S3ST,"Q20,Q21,Q22,Q23,Q24,Q25",,C112925,6
TLE8888-2QK,U40,,C188865,1
15uH,L1,,,1
ACT45B-510-2P-TL003,"L10,L11,L12,L13",,C417597,4
STM32F407VGT6,U1,,C83133,1
IRLR2905,"Q10,Q11",,,2
DRV8873HPWPR,U42,,C108933,1
BTS4140N,U44,,C98812,1
TLE8110ED,U43,,C93280,1
SMCJ33A,"D1,D3",,C160079,2
TPD2EUSB30DRTR,U30,,C128918,1
TPS3850G33DRCR,U45,,C128921,1
IPD90P04P4L-04,"Q1,Q30",,C20917,2
LMR33630ADDAR,U2,,C181748,1
REF5050IDGKT,U4,,C158837,1
TPS7A1633DGNR,U3,,C96454,1
0.01R,R70,,,1
0.1R,"R50,R51",,,2
100R,"R80,R81,R82,R83,R84,R85",,C17557,6
100k,"R1,R2,R61,R63,R111,R112,R113",,C17621,7
10k,"R21,R22,R23,R52,R53,R60,R62,R90,R91,R92,R93,R94,R95",,C17613,13
1M,R20,,C17682,1
1k,"R30,R31,R32,R33,R34,R35,R36,R37,R100,R105",,C17547,10
22R,"R18,R19,R120,R121",,C17550,4
24.9k,R3,,C17630,1
49.9k,R110,,C17631,1
5.1k,"R16,R17",,C17556,2
60R_1%,"R30,R31,R32,R33,R34,R35,R36,R37",,C17579,8
CJ125,"U35,U36",,C165947,2
TLE2072CDR,"U37,U38",,C52717,2
8MHz_NX5032GA,Y1,,C13731,1
